order_id,customer_id,order_date,product_name,category,amount,status
10001,1,2026-05-20 00:00:00,Mechanical Keyboard,Electronics,9000,Completed
10002,2,2026-05-11 00:00:00,Water Bottle 1L,Fitness,1600,Completed
10003,3,2026-02-07 00:00:00,Water Bottle 1L,Fitness,800,Completed
10004,3,2026-03-21 00:00:00,Water Bottle 1L,Fitness,1600,Completed
10005,3,2026-05-10 00:00:00,Resistance Bands Set,Fitness,1900,Completed
10006,4,2026-02-14 00:00:00,Water Bottle 1L,Fitness,800,Completed
10007,4,2026-04-01 00:00:00,Yoga Mat,Fitness,1500,Completed
10008,4,2026-05-14 00:00:00,Ergonomic Office Chair,Furniture,37500,Completed
10009,5,2026-03-02 00:00:00,Water Bottle 1L,Fitness,1600,Completed
10010,5,2026-04-03 00:00:00,Yoga Mat,Fitness,1500,Completed
10011,5,2026-05-14 00:00:00,Mechanical Keyboard,Electronics,13500,Completed
10012,6,2025-12-15 00:00:00,LED Desk Lamp,Furniture,4400,Completed
10013,6,2026-01-06 00:00:00,Ergonomic Office Chair,Furniture,12500,Completed
10014,7,2026-04-02 00:00:00,Yoga Mat,Fitness,1500,Completed
10015,7,2026-04-15 00:00:00,Yoga Mat,Fitness,3000,Completed
10016,7,2026-05-25 00:00:00,Noise Cancelling Headphones,Electronics,8500,Completed
10017,8,2026-05-09 00:00:00,Wireless Mouse,Electronics,1200,Completed
10018,8,2026-05-26 00:00:00,Water Bottle 1L,Fitness,2400,Completed
10019,9,2025-12-10 00:00:00,Gel Pen Pack of 10,Stationery,500,Completed
10020,10,2026-03-24 00:00:00,Leather Notebook,Stationery,1200,Completed
10021,10,2026-05-06 00:00:00,Gel Pen Pack of 10,Stationery,750,Completed
10022,10,2026-05-29 00:00:00,Ergonomic Office Chair,Furniture,37500,Completed
10023,11,2026-03-10 00:00:00,Water Bottle 1L,Fitness,800,Completed
10024,12,2026-01-31 00:00:00,Gel Pen Pack of 10,Stationery,500,Completed
10025,13,2026-05-02 00:00:00,Water Bottle 1L,Fitness,1600,Returned
10026,15,2026-04-15 00:00:00,Ergonomic Office Chair,Furniture,25000,Completed
10027,16,2026-02-23 00:00:00,LED Desk Lamp,Furniture,4400,Completed
10028,16,2026-03-11 00:00:00,Yoga Mat,Fitness,4500,Completed
10029,16,2026-04-26 00:00:00,Wireless Mouse,Electronics,3600,Completed
10030,19,2025-12-08 00:00:00,Ergonomic Office Chair,Furniture,25000,Completed
10031,19,2026-01-06 00:00:00,Resistance Bands Set,Fitness,2850,Completed
10032,19,2026-02-18 00:00:00,Water Bottle 1L,Fitness,800,Completed
10033,21,2026-03-01 00:00:00,Water Bottle 1L,Fitness,800,Completed
10034,21,2026-04-21 00:00:00,Resistance Bands Set,Fitness,1900,Completed
10035,21,2026-05-02 00:00:00,LED Desk Lamp,Furniture,6600,Completed
10036,21,2026-05-17 00:00:00,Leather Notebook,Stationery,600,Completed
10037,22,2026-01-30 00:00:00,Mechanical Keyboard,Electronics,4500,Completed
10038,22,2026-02-12 00:00:00,Noise Cancelling Headphones,Electronics,25500,Completed
10039,22,2026-04-09 00:00:00,Resistance Bands Set,Fitness,950,Completed
10040,22,2026-05-11 00:00:00,Mechanical Keyboard,Electronics,9000,Completed
10041,24,2026-05-17 00:00:00,Gel Pen Pack of 10,Stationery,250,Completed
10042,25,2025-12-03 00:00:00,Leather Notebook,Stationery,1200,Completed
10043,25,2026-01-12 00:00:00,Noise Cancelling Headphones,Electronics,25500,Completed
10044,25,2026-02-10 00:00:00,Yoga Mat,Fitness,4500,Completed
10045,25,2026-04-07 00:00:00,Leather Notebook,Stationery,1800,Completed
10046,25,2026-05-06 00:00:00,Yoga Mat,Fitness,3000,Completed
10047,25,2026-05-27 00:00:00,Water Bottle 1L,Fitness,800,Completed
10048,26,2026-05-29 00:00:00,Water Bottle 1L,Fitness,1600,Completed
10049,27,2026-05-18 00:00:00,Ergonomic Office Chair,Furniture,25000,Completed
10050,28,2026-05-13 00:00:00,Noise Cancelling Headphones,Electronics,8500,Completed
10051,28,2026-05-29 00:00:00,Leather Notebook,Stationery,600,Completed
10052,29,2026-04-24 00:00:00,Mechanical Keyboard,Electronics,9000,Completed
10053,29,2026-05-06 00:00:00,Water Bottle 1L,Fitness,800,Completed
10054,30,2026-04-29 00:00:00,Gel Pen Pack of 10,Stationery,250,Completed
10055,30,2026-05-11 00:00:00,LED Desk Lamp,Furniture,4400,Completed
10056,31,2026-02-01 00:00:00,Leather Notebook,Stationery,1200,Completed
10057,31,2026-03-24 00:00:00,Water Bottle 1L,Fitness,1600,Completed
10058,33,2026-03-12 00:00:00,Wireless Mouse,Electronics,1200,Returned
10059,35,2026-05-26 00:00:00,Noise Cancelling Headphones,Electronics,17000,Completed
10060,36,2026-05-07 00:00:00,Leather Notebook,Stationery,600,Completed
10061,37,2025-12-17 00:00:00,Noise Cancelling Headphones,Electronics,8500,Completed
10062,37,2026-01-03 00:00:00,Gel Pen Pack of 10,Stationery,250,Completed
10063,38,2026-05-15 00:00:00,Ergonomic Office Chair,Furniture,12500,Completed
10064,40,2026-02-01 00:00:00,Wireless Mouse,Electronics,1200,Completed
10065,40,2026-03-06 00:00:00,Gel Pen Pack of 10,Stationery,750,Completed
10066,40,2026-04-30 00:00:00,Yoga Mat,Fitness,3000,Completed
10067,42,2025-12-01 00:00:00,Noise Cancelling Headphones,Electronics,8500,Completed
10068,42,2025-12-26 00:00:00,Ergonomic Office Chair,Furniture,12500,Completed
10069,42,2026-01-23 00:00:00,Noise Cancelling Headphones,Electronics,17000,Completed
10070,42,2026-02-02 00:00:00,Gel Pen Pack of 10,Stationery,250,Completed
10071,43,2026-05-08 00:00:00,Yoga Mat,Fitness,3000,Completed
10072,43,2026-05-20 00:00:00,Mechanical Keyboard,Electronics,9000,Completed
10073,45,2026-02-24 00:00:00,Gel Pen Pack of 10,Stationery,500,Completed
10074,45,2026-03-07 00:00:00,Resistance Bands Set,Fitness,1900,Completed
10075,45,2026-04-21 00:00:00,Gel Pen Pack of 10,Stationery,250,Completed
10076,46,2025-12-19 00:00:00,Mechanical Keyboard,Electronics,9000,Completed
10077,46,2026-01-30 00:00:00,Yoga Mat,Fitness,3000,Completed
10078,47,2026-02-23 00:00:00,LED Desk Lamp,Furniture,4400,Completed
10079,47,2026-03-19 00:00:00,Gel Pen Pack of 10,Stationery,750,Completed
10080,47,2026-05-08 00:00:00,Gel Pen Pack of 10,Stationery,250,Completed
10081,48,2026-01-30 00:00:00,Noise Cancelling Headphones,Electronics,17000,Completed
10082,48,2026-03-05 00:00:00,Noise Cancelling Headphones,Electronics,8500,Completed
10083,48,2026-05-04 00:00:00,Gel Pen Pack of 10,Stationery,250,Completed
10084,48,2026-05-18 00:00:00,Gel Pen Pack of 10,Stationery,250,Completed
10085,49,2026-05-01 00:00:00,Wireless Mouse,Electronics,1200,Completed
10086,50,2026-01-18 00:00:00,Mechanical Keyboard,Electronics,9000,Completed
10087,50,2026-02-08 00:00:00,Leather Notebook,Stationery,1800,Completed
10088,50,2026-04-04 00:00:00,Water Bottle 1L,Fitness,2400,Completed
10089,50,2026-05-12 00:00:00,Wireless Mouse,Electronics,3600,Completed
10090,51,2025-12-08 00:00:00,Yoga Mat,Fitness,3000,Completed
10091,51,2026-01-19 00:00:00,Ergonomic Office Chair,Furniture,37500,Returned
10092,52,2026-04-30 00:00:00,Wireless Mouse,Electronics,1200,Completed
