order_id,customer_id,order_date,product_name,category,amount,status
10001,1,2026-02-25 00:00:00,Ergonomic Office Chair,Furniture,25000,Completed
10002,1,2026-04-19 00:00:00,Leather Notebook,Stationery,1800,Completed
10003,2,2026-03-28 00:00:00,Yoga Mat,Fitness,3000,Completed
10004,2,2026-04-27 00:00:00,Yoga Mat,Fitness,3000,Completed
10005,3,2026-02-17 00:00:00,Gel Pen Pack of 10,Stationery,250,Completed
10006,3,2026-03-23 00:00:00,Noise Cancelling Headphones,Electronics,25500,Completed
10007,3,2026-05-20 00:00:00,Noise Cancelling Headphones,Electronics,25500,Completed
10008,4,2025-12-26 00:00:00,LED Desk Lamp,Furniture,4400,Completed
10009,4,2026-02-05 00:00:00,LED Desk Lamp,Furniture,6600,Completed
10010,4,2026-02-28 00:00:00,Gel Pen Pack of 10,Stationery,750,Completed
10011,4,2026-04-04 00:00:00,Mechanical Keyboard,Electronics,4500,Completed
10012,4,2026-04-17 00:00:00,Noise Cancelling Headphones,Electronics,8500,Completed
10013,4,2026-05-03 00:00:00,Yoga Mat,Fitness,4500,Returned
10014,6,2026-01-12 00:00:00,LED Desk Lamp,Furniture,2200,Completed
10015,6,2026-02-09 00:00:00,Noise Cancelling Headphones,Electronics,25500,Completed
10016,7,2026-04-23 00:00:00,Yoga Mat,Fitness,1500,Completed
10017,8,2026-03-22 00:00:00,Wireless Mouse,Electronics,1200,Completed
10018,8,2026-05-18 00:00:00,LED Desk Lamp,Furniture,6600,Completed
10019,9,2026-02-13 00:00:00,Mechanical Keyboard,Electronics,9000,Returned
10020,10,2026-03-30 00:00:00,Ergonomic Office Chair,Furniture,12500,Completed
10021,10,2026-04-28 00:00:00,Wireless Mouse,Electronics,2400,Completed
10022,11,2025-12-12 00:00:00,Water Bottle 1L,Fitness,1600,Completed
10023,11,2025-12-24 00:00:00,Wireless Mouse,Electronics,2400,Completed
10024,11,2026-01-17 00:00:00,Ergonomic Office Chair,Furniture,12500,Completed
10025,11,2026-03-10 00:00:00,LED Desk Lamp,Furniture,2200,Completed
10026,11,2026-04-04 00:00:00,Yoga Mat,Fitness,1500,Completed
10027,12,2026-02-04 00:00:00,Mechanical Keyboard,Electronics,9000,Completed
10028,12,2026-03-10 00:00:00,Noise Cancelling Headphones,Electronics,8500,Completed
10029,12,2026-04-25 00:00:00,Yoga Mat,Fitness,1500,Completed
10030,12,2026-05-12 00:00:00,Wireless Mouse,Electronics,1200,Completed
10031,12,2026-05-28 00:00:00,Yoga Mat,Fitness,3000,Completed
10032,13,2025-12-12 00:00:00,Noise Cancelling Headphones,Electronics,17000,Completed
10033,13,2026-02-04 00:00:00,Leather Notebook,Stationery,1800,Completed
10034,13,2026-02-26 00:00:00,Gel Pen Pack of 10,Stationery,250,Completed
10035,13,2026-03-10 00:00:00,Ergonomic Office Chair,Furniture,25000,Completed
10036,14,2026-03-12 00:00:00,Yoga Mat,Fitness,1500,Completed
10037,14,2026-05-06 00:00:00,LED Desk Lamp,Furniture,2200,Completed
10038,14,2026-05-27 00:00:00,Wireless Mouse,Electronics,1200,Completed
10039,15,2025-12-23 00:00:00,Leather Notebook,Stationery,1200,Completed
10040,15,2026-01-22 00:00:00,Ergonomic Office Chair,Furniture,37500,Completed
